C_H_mitomatr_n0
K_x_n0
Mg_x_n0
NADHmito_n0
QH2mito_n0
CytCredmito_n0
O2_n0
ATPmito_n0
ADPmito_n0
ATP_mx_n0
ADP_mx_n0
Pimito_n0
ATP_i_n0
ADP_i_n0
AMP_i_n0
ATP_mi_n0
ADP_mi_n0
Pi_i_n0
MitoMembrPotent_n0
Ctot_n0
Qtot_n0
C_H_ims_n0
ATP_n0
ADP_n0
FUMmito_n0
MALmito_n0
OXAmito_n0
SUCmito_n0
SUCCOAmito_n0
CoAmito_n0
AKGmito_n0
CaMito_n0
ISOCITmito_n0
CITmito_n0
AcCoAmito_n0
AcAc_n0
AcAcCoA_n0
PYRmito_n0
bHB_n0
bHB_ecs0
bHB_a0
bHB_b0
ASPmito_n0
ASP_n0
GLUmito_n0
MAL_n0
OXA_n0
AKG_n0
GLU_n0
NADH_n0
C_H_mitomatr_a0
K_x_a0
Mg_x_a0
NADHmito_a0
QH2mito_a0
CytCredmito_a0
O2_a0
ATPmito_a0
ADPmito_a0
ATP_mx_a0
ADP_mx_a0
Pimito_a0
ATP_i_a0
ADP_i_a0
AMP_i_a0
ATP_mi_a0
ADP_mi_a0
Pi_i_a0
MitoMembrPotent_a0
Ctot_a0
Qtot_a0
C_H_ims_a0
ATP_a0
ADP_a0
FUMmito_a0
MALmito_a0
OXAmito_a0
SUCmito_a0
SUCCOAmito_a0
CoAmito_a0
AKGmito_a0
CaMito_a0
ISOCITmito_a0
CITmito_a0
AcCoAmito_a0
AcAc_a0
AcAcCoA_a0
PYRmito_a0
GLN_n0
GLN_out0
GLN_a0
GLUT_a0
Va0
Na_a0
K_a0
K_out0
GLUT_syn0
VNeu0
Na_n0
h0
n0
Ca_n0
pgate0
nBK_a0
mGluRboundRatio_a0
IP3_a0
hIP3Ca_a0
Ca_a0
Ca_r_a0
sTRP_a0
vV0
EET_a0
ddHb0
O2cap0
Glc_b0
Glc_t_t0
Glc_ecsBA0
Glc_a0
Glc_ecsAN0
Glc_n0
G6P_n0
G6P_a0
F6P_n0
F6P_a0
FBP_n0
FBP_a0
f26bp_a0
GLY_a0
AMP_n0
AMP_a0
G1P_a0
GAP_n0
GAP_a0
DHAP_n0
DHAP_a0
BPG13_n0
BPG13_a0
NADH_a0
Pi_n0
Pi_a0
PG3_n0
PG3_a0
PG2_n0
PG2_a0
PEP_n0
PEP_a0
Pyr_n0
Pyr_a0
Lac_b0
Lac_ecs0
Lac_a0
Lac_n0
NADPH_n0
NADPH_a0
GL6P_n0
GL6P_a0
GO6P_n0
GO6P_a0
RU5P_n0
RU5P_a0
R5P_n0
R5P_a0
X5P_n0
X5P_a0
S7P_n0
S7P_a0
E4P_n0
E4P_a0
GSH_n0
GSH_a0
GSSG_n0
GSSG_a0
Cr_n0
PCr_n0
Cr_a0
PCr_a0
cAMP_a0
NE_neuromod0
UDPgluco_a0
UTP_a0
GS_a0
GPa_a0
GPb_a0
